Android App Development,SmartHire,Delhi,"₹ 12,000-15,000 /month"
Full Stack Development,SmartHire,Delhi,"₹ 12,000-15,000 /month"
Android App Development,VV Creations,Vijayawada,"₹ 10,000-25,000 /month"
Backend Development,Guruji Astro,Jaipur,"₹ 10,000 /month"
job_role,company_name,location,stipend
PHP Development,Elliotte Technologies LLP,Ghaziabad,"₹ 5,000-10,000 /month"
Web Development,Dolphin Ad World Private Limited,Mumbai,"₹ 10,000 /month"
GoLang Development,WiJungle - by HttpCart,Gurgaon,"₹ 30,000 /month"
Computer Vision,Chaudhary Ghasiram Sukhdevi Foundation,Moradabad,"₹ 10,000-15,000 /month"
.NET Development,Quantasis Private Limited,Mumbai,"₹ 6,000-12,000 /month"
Web Development,Sample Set,Work from home,"₹ 30,000-50,000 /month"
Computer Operator,Roopak Fashion,Mumbai,"₹ 10,000 /month"
Javascript & Rust Library Development,Arakoo.ai,Work from home,"₹ 7,500-10,000 /month"
Technical Problem Setter ( Programming),HackerEarth,Bangalore,"₹ 40,000 /month"
Artificial Intelligence (AI),Zylu Business Solutions Private Limited,Work from home,"₹ 15,000 /month"
Android/IOS App Development,Jipvi Ecommerce Private Limited,Delhi,"₹ 15,000 /month"
Product Management,Dresma,Gurgaon,"₹ 10,000 /month"
Web Development,Eupheus Learning,Delhi,"₹ 10,000 /month"
Mobile App Development,Kritika Ranga,Manesar,"₹ 18,000 /month"
Laravel Developer,Webriver Solutions,Kolkata,"₹ 5,000-10,000 /month"
Full Stack Developer,Highway Delite,Work from home,"₹ 20,000-25,000 /month"
Python Development,Aadi Foundation,Work from home,"₹ 10,000-20,000 /month"
Backend Development,Aadi Foundation,Work from home,"₹ 10,000 /month"
PHP Development,OyeLabs,Work from home,"₹ 5,000-10,000 /month"
Computer Vision (C++),Wobot Intelligence Private Limited,Work from home,"₹ 12,500 /month"
Angular.js Development,HRBOT,Work from home,"₹ 10,000 /month"
Consultant,Lucror,Work from home,"₹ 5,000-10,000 /month"
Front End Development,Studio Frontier,Mumbai,"₹ 5,000-10,000 /month"
Front End Development,Go Plus Inc.,Work from home,"₹ 10,000 /month"
Website Design On-Site Sales Representative,Book My Agency,Ghaziabad,"₹ 10,000-25,000 /month"
Python Full Stack Development,Blackcoffer,Work from home,"₹ 10,000-12,000 /month"
Website Design Tele-Sales Representative,Book My Agency,Ghaziabad,"₹ 10,000-25,000 /month"
Mobile App Development,Kifayti Health,Work from home,"₹ 10,000 /month + Incentives"
Django Developer,Ayurveda House Private Limited,Delhi,"₹ 20,000-25,000 /month"
WordPress Website Design,Shadelic Design House,Pimpri-Chinchwad,"₹ 12,000 /month"
iOS App Development,Blackcoffer,Work from home,"₹ 10,000 /month"
Application Testing,Blackcoffer,Work from home,"₹ 6,000-10,000 /month"
